1.000E-01 0.500E+00 0.400E+00 8.076E+04  1.750E+05 3.000E+04 1.000E+02 1.000E+01 3.350E+02 1.000E-06 926
 2304       0.9482068087099425       0.4921405871621549
 2305       0.9830803825606562       0.5122748661759804
 2428       0.0213615899983859       0.0035239468122965
 2429       0.0562350864204069       0.0236581811226189
 2430       0.0911085828424278       0.0437924154329408
 2431       0.1259820792644484       0.0639266497432631
 2432       0.1608555756864694       0.0840608840535850
 2433       0.1957290721084899       0.1041951183639074
 2434       0.2306025685305109       0.1243293526742297
 2435       0.2654760649525318       0.1444635869845516
 2436       0.3003495613745524       0.1645978212948735
 2437       0.3352230577965729       0.1847320556051959
 2438       0.3700965542185939       0.2048662899155183
 2439       0.4049700506406149       0.2250005242258402
 2440       0.4398436244913291       0.2451348032396656
 2441       0.4747170434846564       0.2652689928464849
 2442       0.5095906173353706       0.2854032718603099
 2443       0.5444640363286979       0.3055374614671287
 2444       0.5793376101794121       0.3256717404809542
 2445       0.6142110291727394       0.3458059300877734
 2446       0.6490846030234536       0.3659402091015984
 2447       0.6839580220167809       0.3860743987084176
 2448       0.7188315958674956       0.4062086777222431
 2449       0.7537051697182098       0.4263429567360681
 2450       0.7885785887115366       0.4464771463428869
 2451       0.8234521625622513       0.4666114253567124
 2452       0.8583255815555786       0.4867456149635316
 2453       0.8931991554062928       0.5068798939773567
 2454       0.9280725743996201       0.5270140835841759
 2455       0.9629461482503343       0.5471483625980014
 2456       0.9978195672436616       0.5672825522048202
 2578       0.0012273556880640       0.0383974432343170
 2579       0.0361008521100850       0.0585316775446394
 2580       0.0709743485321055       0.0786659118549613
 2581       0.1058478449541260       0.0988001461652837
 2582       0.1407213413761470       0.1189343804756056
 2583       0.1755948377981680       0.1390686147859279
 2584       0.2104683342201890       0.1592028490962503
 2585       0.2453418306422095       0.1793370834065722
 2586       0.2802153270642300       0.1994713177168941
 2587       0.3150888234862510       0.2196055520272164
 2588       0.3499623199082720       0.2397397863375388
 2589       0.3848358163302930       0.2598740206478607
 2590       0.4197093901810067       0.2800082996616862
 2591       0.4545828091743340       0.3001424892685054
 2592       0.4894563830250487       0.3202767682823304
 2593       0.5243298020183760       0.3404109578891492
 2594       0.5592033758690897       0.3605452369029747
 2595       0.5940767948624170       0.3806794265097939
 2596       0.6289503687131317       0.4008137055236189
 2597       0.6638237877064590       0.4209478951304382
 2598       0.6986973615571737       0.4410821741442637
 2599       0.7335709354078874       0.4612164531580887
 2600       0.7684443544012147       0.4813506427649075
 2601       0.8033179282519294       0.5014849217787329
 2602       0.8381913472452567       0.5216191113855522
 2603       0.8730649210959704       0.5417533903993772
 2604       0.9079383400892977       0.5618875800061964
 2605       0.9428119139400124       0.5820218590200219
 2606       0.9776853329333397       0.6021560486268407
 2729       0.0159666177997626       0.0934051739666604
 2730       0.0508401142217831       0.1135394082769823
 2731       0.0857136106438041       0.1336736425873046
 2732       0.1205871070658251       0.1538078768976265
 2733       0.1554606034878461       0.1739421112079489
 2734       0.1903340999098666       0.1940763455182712
 2735       0.2252075963318871       0.2142105798285932
 2736       0.2600810927539081       0.2343448141389151
 2737       0.2949545891759291       0.2544790484492374
 2738       0.3298280855979496       0.2746132827595598
 2739       0.3647015820199706       0.2947475170698817
 2740       0.3995751558706848       0.3148817960837071
 2741       0.4344485748640121       0.3350159856905264
 2742       0.4693221487147263       0.3551502647043514
 2743       0.5041955677080536       0.3752844543111702
 2744       0.5390691415587678       0.3954187333249957
 2745       0.5739425605520951       0.4155529229318149
 2746       0.6088161344028098       0.4356872019456399
 2747       0.6436895533961366       0.4558213915524592
 2748       0.6785631272468513       0.4759556705662846
 2749       0.7134367010975655       0.4960899495801097
 2750       0.7483101200908924       0.5162241391869284
 2751       0.7831836939416070       0.5363584182007539
 2752       0.8180571129349343       0.5564926078075731
 2753       0.8529306867856485       0.5766268868213982
 2754       0.8878041057789758       0.5967610764282174
 2755       0.9226776796296901       0.6168953554420429
 2756       0.9575510986230173       0.6370295450488617
 2757       0.9924246724737316       0.6571638240626871
 2880       0.0307058799114612       0.1484129046990030
 2881       0.0655793763334822       0.1685471390093254
 2882       0.1004528727555032       0.1886813733196473
 2883       0.1353263691775237       0.2088156076299696
 2884       0.1701998655995443       0.2289498419402920
 2885       0.2050733620215652       0.2490840762506139
 2886       0.2399468584435862       0.2692183105609358
 2887       0.2748203548656067       0.2893525448712582
 2888       0.3096938512876273       0.3094867791815805
 2889       0.3445673477096483       0.3296210134919024
 2890       0.3794409215603629       0.3497552925057279
 2891       0.4143143405536902       0.3698894821125471
 2892       0.4491879144044040       0.3900237611263722
 2893       0.4840613333977313       0.4101579507331909
 2894       0.5189349072484459       0.4302922297470164
 2895       0.5538083262417732       0.4504264193538356
 2896       0.5886819000924874       0.4705606983676607
 2897       0.6235553190858143       0.4906948879744799
 2898       0.6584288929365290       0.5108291669883054
 2899       0.6933024667872436       0.5309634460021304
 2900       0.7281758857805700       0.5510976356089492
 2901       0.7630494596312847       0.5712319146227747
 2902       0.7979228786246120       0.5913661042295939
 2903       0.8327964524753266       0.6115003832434189
 2904       0.8676698714686539       0.6316345728502382
 2905       0.9025434453193677       0.6517688518640636
 2906       0.9374168643126950       0.6719030414708824
 2907       0.9722904381634097       0.6920373204847079
 3030       0.0105716456011393       0.1832864011210238
 3031       0.0454451420231599       0.2034206354313461
 3032       0.0803186384451808       0.2235548697416680
 3033       0.1151921348672014       0.2436891040519904
 3034       0.1500656312892223       0.2638233383623128
 3035       0.1849391277112433       0.2839575726726347
 3036       0.2198126241332639       0.3040918069829566
 3037       0.2546861205552844       0.3242260412932789
 3038       0.2895596169773054       0.3443602756036013
 3039       0.3244331133993263       0.3644945099139232
 3040       0.3593066872500406       0.3846287889277487
 3041       0.3941801062433679       0.4047629785345679
 3042       0.4290536800940821       0.4248972575483929
 3043       0.4639270990874094       0.4450314471552117
 3044       0.4988006729381236       0.4651657261690372
 3045       0.5336740919314509       0.4852999157758564
 3046       0.5685476657821651       0.5054341947896814
 3047       0.6034210847754924       0.5255683843965007
 3048       0.6382946586262070       0.5457026634103261
 3049       0.6731682324769213       0.5658369424241512
 3050       0.7080416514702481       0.5859711320309700
 3051       0.7429152253209628       0.6061054110447954
 3052       0.7777886443142901       0.6262396006516147
 3053       0.8126622181650043       0.6463738796654397
 3054       0.8475356371583316       0.6665080692722589
 3055       0.8824092110090458       0.6866423482860844
 3056       0.9172826300023731       0.7067765378929032
 3057       0.9521562038530873       0.7269108169067287
 3058       0.9870296228464146       0.7470450065135474
 3181       0.0253109077128375       0.2382941318533669
 3182       0.0601844041348585       0.2584283661636888
 3183       0.0950579005568795       0.2785626004740112
 3184       0.1299313969789004       0.2986968347843335
 3185       0.1648048934009210       0.3188310690946554
 3186       0.1996783898229415       0.3389653034049773
 3187       0.2345518862449625       0.3590995377152997
 3188       0.2694253826669835       0.3792337720256220
 3189       0.3042988790890044       0.3993680063359439
 3190       0.3391724529397182       0.4195022853497694
 3191       0.3740458719330455       0.4396364749565886
 3192       0.4089194457837602       0.4597707539704137
 3193       0.4437928647770875       0.4799049435772325
 3194       0.4786664386278012       0.5000392225910579
 3195       0.5135398576211285       0.5201734121978772
 3196       0.5484134314718432       0.5403076912117022
 3197       0.5832868504651705       0.5604418808185214
 3198       0.6181604243158851       0.5805761598323469
 3199       0.6530339981665989       0.6007104388461719
 3200       0.6879074171599262       0.6208446284529907
 3201       0.7227809910106409       0.6409789074668162
 3202       0.7576544100039682       0.6611130970736354
 3203       0.7925279838546819       0.6812473760874604
 3204       0.8274014028480092       0.7013815656942797
 3205       0.8622749766987239       0.7215158447081051
 3206       0.8971483956920512       0.7416500343149239
 3207       0.9320219695427649       0.7617843133287494
 3208       0.9668953885360922       0.7819185029355682
